Timestamp,Source IP,Destination IP,Protocol,Length
1740062268.1152208,192.168.1.187,140.82.112.21,6,54
1740062268.170513,192.168.0.111,239.255.255.250,17,212
1740062269.1970396,192.168.1.233,224.0.0.251,17,291
1740062269.2966175,192.168.0.111,239.255.255.250,17,212
1740062269.4822178,192.168.1.187,140.82.112.21,6,54
1740062270.1159406,192.168.0.111,239.255.255.250,17,212
1740062271.1401198,192.168.0.111,239.255.255.250,17,212
1740062271.6610477,192.168.1.187,20.195.84.23,6,85
1740062271.756828,20.195.84.23,192.168.1.187,6,54
1740062272.2222106,192.168.1.187,140.82.112.21,6,54
1740062272.369165,192.168.1.198,224.0.0.251,17,103
1740062274.2156343,20.195.84.23,192.168.1.187,6,81
1740062274.2602656,192.168.1.187,20.195.84.23,6,54
1740062275.0309303,192.168.1.198,224.0.0.22,2,54
1740062275.0349753,192.168.1.1,224.0.0.251,2,50
1740062275.0694985,192.168.1.187,224.0.0.22,2,54
1740062275.3381217,192.168.1.198,224.0.0.22,2,54
1740062275.3411868,192.168.1.175,224.0.0.22,2,54
1740062275.4411635,192.168.1.198,224.0.0.22,2,54
1740062275.4447525,192.168.1.225,224.0.0.22,2,54
1740062275.4480882,192.168.1.198,224.0.0.251,17,103
1740062275.452949,192.168.1.159,224.0.0.22,2,54
1740062275.544412,192.168.1.198,224.0.0.22,2,54
1740062276.3620996,192.168.1.198,224.0.0.251,17,103
1740062276.5666513,192.168.1.1,224.0.0.251,2,50
1740062276.8743002,192.168.1.175,224.0.0.22,2,54
1740062276.9784932,192.168.1.225,224.0.0.22,2,54
1740062277.0602076,192.168.1.187,224.0.0.22,2,54
1740062277.0791287,192.168.1.159,224.0.0.22,2,54
1740062277.386173,192.168.1.198,224.0.0.22,2,54
1740062277.3900855,192.168.1.198,224.0.0.251,17,103
1740062277.6869082,192.168.1.187,140.82.112.21,6,54
1740062277.8470852,192.168.1.187,142.251.12.188,6,55
1740062278.002213,142.251.12.188,192.168.1.187,6,66
1740062278.3086267,192.168.1.198,224.0.0.251,17,103
1740062279.3329585,192.168.1.198,224.0.0.251,17,103
1740062280.3569477,192.168.1.198,224.0.0.251,17,103
1740062281.1770713,192.168.1.1,239.255.255.250,17,312
1740062281.181075,192.168.1.1,239.255.255.250,17,324
1740062281.1848426,192.168.1.1,239.255.255.250,17,384
1740062281.191665,192.168.1.1,239.255.255.250,17,300
1740062281.1961339,192.168.1.1,239.255.255.250,17,348
1740062281.2027304,192.168.1.1,239.255.255.250,17,320
1740062281.2073944,192.168.1.1,239.255.255.250,17,378
1740062281.212994,192.168.1.1,239.255.255.250,17,376
1740062281.2180934,192.168.1.1,239.255.255.250,17,380
1740062281.2779965,192.168.1.1,239.255.255.250,17,372
1740062282.5794957,192.168.1.187,20.195.84.23,6,82
1740062282.7125435,20.195.84.23,192.168.1.187,6,54
1740062284.0439754,157.240.7.53,192.168.1.187,6,106
1740062284.0900505,192.168.1.187,157.240.7.53,6,54
1740062286.6619499,192.168.1.187,20.195.84.23,6,85
1740062286.8075917,20.195.84.23,192.168.1.187,6,54
1740062287.2175784,192.168.1.1,192.168.1.255,17,369
1740062287.4208963,192.168.1.187,140.82.112.21,6,66
1740062287.6833675,192.168.1.187,140.82.112.21,6,66
1740062287.7049508,140.82.112.21,192.168.1.187,6,66
1740062287.7094102,192.168.1.187,140.82.112.21,6,54
1740062287.7131732,192.168.1.187,140.82.112.21,6,1490
1740062287.7176018,192.168.1.187,140.82.112.21,6,491
1740062288.0365095,192.168.0.107,239.255.255.250,17,179
1740062288.0492125,140.82.112.21,192.168.1.187,6,54
1740062288.0538101,140.82.112.21,192.168.1.187,6,1490
1740062288.0595417,140.82.112.21,192.168.1.187,6,1490
1740062288.0634053,140.82.112.21,192.168.1.187,6,1244
1740062288.0672598,140.82.112.21,192.168.1.187,6,66
1740062288.0714948,192.168.1.187,140.82.112.21,6,54
1740062288.0763319,192.168.1.187,140.82.112.21,6,54
1740062288.080805,192.168.1.187,140.82.112.21,6,118
1740062288.0855281,192.168.1.187,140.82.112.21,6,1490
1740062288.0900393,192.168.1.187,140.82.112.21,6,427
1740062288.0942864,192.168.1.187,140.82.112.21,6,146
1740062288.0988102,192.168.1.187,140.82.112.21,6,600
1740062288.1033998,192.168.1.187,140.82.112.21,6,1490
1740062288.10798,192.168.1.187,140.82.112.21,6,1307
1740062288.4504275,140.82.112.21,192.168.1.187,6,133
1740062288.454443,140.82.112.21,192.168.1.187,6,133
1740062288.4599233,140.82.112.21,192.168.1.187,6,118
1740062288.4663498,140.82.112.21,192.168.1.187,6,54
1740062288.4715195,140.82.112.21,192.168.1.187,6,54
1740062288.4758458,140.82.112.21,192.168.1.187,6,54
1740062288.4800024,192.168.1.187,140.82.112.21,6,54
1740062288.4856791,140.82.112.21,192.168.1.187,6,102
1740062288.4896786,140.82.112.21,192.168.1.187,6,532
1740062288.4938343,140.82.112.21,192.168.1.187,6,54
1740062288.4969256,140.82.112.21,192.168.1.187,6,1490
1740062288.5046113,140.82.112.21,192.168.1.187,6,1490
1740062288.5083933,140.82.112.21,192.168.1.187,6,1244
1740062288.5127237,192.168.1.187,140.82.112.21,6,54
1740062288.5164835,192.168.1.187,140.82.112.21,6,54
1740062288.5217006,192.168.1.187,140.82.112.21,6,85
1740062288.525014,192.168.1.187,140.82.112.21,6,118
1740062288.5295928,192.168.1.187,192.168.1.1,6,66
1740062288.534138,192.168.1.187,192.168.1.1,6,66
1740062288.539612,192.168.1.1,192.168.1.187,6,58
1740062288.5441215,192.168.1.187,192.168.1.1,6,54
1740062288.5478709,192.168.1.187,192.168.1.1,6,56
1740062288.55459,192.168.1.187,192.168.1.1,6,82
1740062288.5582907,192.168.1.1,192.168.1.187,6,58
1740062288.5623827,192.168.1.187,192.168.1.1,6,54
1740062288.5661519,192.168.1.187,192.168.1.1,6,56
1740062288.5717807,192.168.1.187,192.168.1.1,6,82
1740062288.5756366,192.168.1.1,192.168.1.187,6,54
1740062288.5787218,192.168.1.1,192.168.1.187,6,54
1740062288.5879364,192.168.1.1,192.168.1.187,6,348
1740062288.5929937,192.168.1.187,192.168.1.1,6,54
1740062288.5972261,192.168.1.1,192.168.1.187,6,54
1740062288.6024384,192.168.1.1,192.168.1.187,6,54
1740062288.6194103,192.168.1.1,192.168.1.187,6,357
1740062288.6242573,192.168.1.187,192.168.1.1,6,54
1740062288.6291676,192.168.1.187,142.250.195.110,17,1292
1740062288.634472,192.168.1.187,142.250.195.110,17,1292
1740062288.6392822,192.168.1.187,142.250.195.110,17,1292
1740062288.6429458,192.168.1.187,142.250.195.110,17,124
1740062288.646663,192.168.1.1,192.168.1.187,6,54
1740062288.6516283,192.168.1.187,192.168.1.1,6,54
1740062288.6572468,192.168.1.1,192.168.1.187,6,54
1740062288.6614697,192.168.1.187,192.168.1.1,6,54
1740062288.6660562,142.250.195.110,192.168.1.187,17,82
1740062288.6724503,142.250.195.110,192.168.1.187,17,82
1740062288.677695,142.250.195.110,192.168.1.187,17,1292
1740062288.682017,142.250.195.110,192.168.1.187,17,1292
1740062288.687664,142.250.195.110,192.168.1.187,17,1292
1740062288.6924348,142.250.195.110,192.168.1.187,17,340
1740062288.6958563,142.250.195.110,192.168.1.187,17,976
1740062288.7007542,142.250.195.110,192.168.1.187,17,67
1740062288.707346,192.168.1.187,142.250.195.110,17,1292
1740062288.7120602,192.168.1.187,142.250.195.110,17,73
1740062288.7161927,192.168.1.187,142.250.195.110,17,872
1740062288.7211509,192.168.1.187,140.82.112.21,6,54
1740062288.7252133,142.250.195.110,192.168.1.187,17,162
1740062288.7283897,142.250.195.110,192.168.1.187,17,71
1740062288.7320004,142.250.195.110,192.168.1.187,17,606
1740062288.738346,142.250.195.110,192.168.1.187,17,63
1740062288.7418845,192.168.1.187,142.250.195.110,17,74
1740062288.7455785,192.168.1.187,142.250.195.110,17,77
1740062288.7548974,142.250.195.110,192.168.1.187,17,66
1740062288.7773476,140.82.112.21,192.168.1.187,6,54
1740062288.8091667,140.82.112.21,192.168.1.187,6,133
1740062288.8149707,140.82.112.21,192.168.1.187,6,133
1740062288.821272,192.168.1.187,140.82.112.21,6,54
1740062288.8563392,192.168.1.187,20.207.73.85,6,66
1740062288.8618221,192.168.1.187,140.82.112.21,6,126
1740062288.868403,192.168.1.187,140.82.112.21,6,1490
1740062288.8736672,192.168.1.187,140.82.112.21,6,1307
1740062288.8860416,20.207.73.85,192.168.1.187,6,66
1740062288.8946688,192.168.1.187,20.207.73.85,6,54
1740062288.903317,192.168.1.187,20.207.73.85,6,1490
1740062288.9175336,192.168.1.187,20.207.73.85,6,485
1740062288.9524846,192.168.1.187,20.207.73.85,6,1490
1740062288.958814,20.207.73.85,192.168.1.187,6,54
1740062288.9707494,20.207.73.85,192.168.1.187,6,1490
1740062288.9786963,20.207.73.85,192.168.1.187,6,1490
1740062288.9867053,20.207.73.85,192.168.1.187,6,672
1740062288.995463,192.168.1.187,20.207.73.85,6,54
1740062289.0047102,192.168.1.187,20.207.73.85,6,118
1740062289.0118213,192.168.1.187,20.207.73.85,6,146
1740062289.019433,192.168.1.187,20.207.73.85,6,600
1740062289.0241346,192.168.1.187,20.207.73.85,6,406
1740062289.0291543,20.207.73.85,192.168.1.187,6,672
1740062289.0348322,192.168.1.187,20.207.73.85,6,66
1740062289.0608318,20.207.73.85,192.168.1.187,6,66
1740062289.0640516,20.207.73.85,192.168.1.187,6,54
1740062289.069328,20.207.73.85,192.168.1.187,6,54
1740062289.074714,20.207.73.85,192.168.1.187,6,133
1740062289.0792568,20.207.73.85,192.168.1.187,6,133
1740062289.0844355,20.207.73.85,192.168.1.187,6,118
1740062289.089964,20.207.73.85,192.168.1.187,6,54
1740062289.093839,20.207.73.85,192.168.1.187,6,102
1740062289.096918,20.207.73.85,192.168.1.187,6,102
1740062289.1025326,192.168.1.187,20.207.73.85,6,66
1740062289.105941,192.168.1.187,20.207.73.85,6,85
1740062289.1665556,20.207.73.85,192.168.1.187,6,54
1740062289.1713624,140.82.112.21,192.168.1.187,6,54
1740062289.175227,140.82.112.21,192.168.1.187,6,54
1740062289.1790311,140.82.112.21,192.168.1.187,6,54
1740062289.1859899,140.82.112.21,192.168.1.187,6,102
1740062289.1904817,140.82.112.21,192.168.1.187,6,531
1740062289.1953418,192.168.1.187,140.82.112.21,6,54
1740062289.2662258,20.207.73.85,192.168.1.187,6,1024
1740062289.3063312,192.168.1.187,20.207.73.85,6,54
1740062290.1875236,20.195.84.23,192.168.1.187,6,81
1740062290.231711,192.168.1.187,20.195.84.23,6,54
1740062291.0914536,192.168.1.187,20.207.73.85,6,131
1740062291.1019137,192.168.1.187,20.207.73.85,6,406
1740062291.1075654,192.168.1.187,140.82.112.21,6,126
1740062291.1137302,192.168.1.187,140.82.112.21,6,1490
1740062291.1212041,192.168.1.187,140.82.112.21,6,1307
1740062291.1388047,20.207.73.85,192.168.1.187,6,54
1740062291.1441896,20.207.73.85,192.168.1.187,6,54
1740062291.153528,20.207.73.85,192.168.1.187,6,102
1740062291.1584208,192.168.1.187,20.207.73.85,6,54
1740062291.3143382,20.207.73.85,192.168.1.187,6,1023
1740062291.319559,140.82.112.21,192.168.1.187,6,54
1740062291.3240707,140.82.112.21,192.168.1.187,6,54
1740062291.331197,140.82.112.21,192.168.1.187,6,102
1740062291.338221,140.82.112.21,192.168.1.187,6,531
1740062291.3433468,192.168.1.187,140.82.112.21,6,54
1740062291.4619794,192.168.1.187,20.207.73.85,6,54
1740062296.7407174,192.168.1.233,224.0.0.22,2,54
1740062296.7452354,192.168.1.233,224.0.0.251,17,169
1740062296.844426,192.168.1.233,224.0.0.22,2,54
1740062297.4207585,192.168.1.187,140.82.112.21,6,54
1740062297.4319005,192.168.1.187,140.82.112.21,6,54
1740062297.435315,192.168.1.187,20.207.73.85,6,54
1740062297.5625188,20.207.73.85,192.168.1.187,6,78
1740062297.5657668,20.207.73.85,192.168.1.187,6,54
1740062297.5688074,192.168.1.187,20.207.73.85,6,54
1740062297.663189,192.168.1.233,224.0.0.251,17,225
1740062297.765245,140.82.112.21,192.168.1.187,6,78
1740062297.7687237,140.82.112.21,192.168.1.187,6,54
1740062297.7721589,192.168.1.187,140.82.112.21,6,54
1740062297.7780695,140.82.112.21,192.168.1.187,6,78
1740062297.7838876,140.82.112.21,192.168.1.187,6,54
1740062297.7881863,192.168.1.187,140.82.112.21,6,54
1740062297.9736009,192.168.1.233,224.0.0.251,17,591
1740062298.5838423,192.168.1.1,224.0.0.252,2,50
1740062298.8912787,192.168.1.175,224.0.0.22,2,54
1740062298.9950624,192.168.1.225,224.0.0.22,2,54
1740062298.9986634,192.168.1.159,224.0.0.22,2,54
1740062299.006053,192.168.1.233,224.0.0.251,17,591
1740062299.0520813,192.168.1.187,224.0.0.22,2,54
1740062300.324605,192.168.1.198,224.0.0.251,17,103
1740062301.6665957,192.168.1.187,20.195.84.23,6,85
1740062301.7615213,20.195.84.23,192.168.1.187,6,54
1740062303.151808,192.168.1.187,140.82.112.21,6,55
1740062303.6015317,192.168.1.1,239.255.255.250,2,50
1740062303.910225,192.168.1.199,224.0.0.22,2,60
1740062303.9136605,192.168.1.175,224.0.0.22,2,54
1740062303.920773,192.168.1.225,224.0.0.22,2,54
1740062303.9240608,192.168.1.159,224.0.0.22,2,54
1740062304.0483975,192.168.1.187,224.0.0.22,2,54
1740062304.0680747,192.168.1.187,192.168.1.1,17,92
1740062304.073499,192.168.1.187,192.168.1.1,17,92
1740062304.079872,192.168.1.1,192.168.1.187,17,435
1740062304.084969,192.168.1.1,192.168.1.187,17,257
1740062304.0889437,192.168.1.187,20.42.73.26,6,66
1740062304.1129618,192.168.1.106,224.0.0.251,2,46
1740062304.2196877,192.168.1.189,224.0.0.22,2,60
1740062304.3190277,192.168.1.106,224.0.0.251,17,100
1740062304.3286374,192.168.1.187,20.42.73.26,6,66
1740062304.3403509,20.42.73.26,192.168.1.187,6,66
1740062304.3445368,192.168.1.187,20.42.73.26,6,54
1740062304.3490021,192.168.1.187,20.42.73.26,6,1494
1740062304.3539326,192.168.1.187,20.42.73.26,6,451
1740062304.3941627,192.168.1.187,192.168.1.1,17,76
1740062304.4147909,192.168.1.1,192.168.1.187,17,490
1740062304.42017,192.168.1.187,23.193.165.43,6,66
1740062304.62726,20.42.73.26,192.168.1.187,6,66
1740062304.6310735,20.42.73.26,192.168.1.187,6,54
1740062304.6347759,20.42.73.26,192.168.1.187,6,153
1740062304.6397245,23.193.165.43,192.168.1.187,6,66
1740062304.6430032,192.168.1.187,20.42.73.26,6,54
1740062304.6470938,192.168.1.187,23.193.165.43,6,54
1740062304.6503954,192.168.1.187,23.193.165.43,6,178
1740062304.655331,192.168.1.187,20.42.73.26,6,1494
1740062304.6597524,192.168.1.187,20.42.73.26,6,483
1740062304.6637201,192.168.1.187,20.42.73.26,6,737
1740062304.842652,23.193.165.43,192.168.1.187,6,54
1740062304.8463066,23.193.165.43,192.168.1.187,6,233
1740062304.8496602,23.193.165.43,192.168.1.187,6,54
1740062304.8548937,192.168.1.187,23.193.165.43,6,54
1740062304.8593824,20.42.73.26,192.168.1.187,6,54
1740062304.863933,20.42.73.26,192.168.1.187,6,153
1740062304.867182,192.168.1.187,23.193.165.43,6,54
